iter	Logloss
0	0.6414653739
1	0.5956203326
2	0.5499328752
3	0.508342746
4	0.468524038
5	0.435757721
6	0.4035815373
7	0.3775220952
8	0.3536438803
9	0.3318157266
10	0.3086258162
11	0.2868832102
12	0.2698394448
13	0.2535680898
14	0.2379693501
15	0.2245645463
16	0.2106455561
17	0.2003675276
18	0.1883531304
19	0.1786518133
20	0.1690670781
21	0.1615114491
22	0.1532973018
23	0.1464623358
24	0.1408432619
25	0.1340462625
26	0.1271455205
27	0.1211854728
28	0.1161308544
29	0.1106820358
30	0.1055741456
31	0.1006440782
32	0.09686547636
33	0.09310638434
34	0.08925882403
35	0.08582291966
36	0.08259936037
37	0.07939874844
38	0.07679734433
39	0.07403900652
40	0.07150992729
41	0.06940712093
42	0.06740210972
43	0.06550235213
44	0.06354062498
45	0.06177307662
46	0.05995449099
47	0.05826913753
48	0.05665258052
49	0.05524102183
50	0.05397873019
51	0.05278705326
52	0.05131591006
53	0.0499187326
54	0.04859527928
55	0.04765940612
56	0.04653341027
57	0.04542875822
58	0.04454794438
59	0.04358409491
60	0.04259992907
61	0.0417176983
62	0.04087697283
63	0.04009324669
64	0.03927817656
65	0.03845765927
66	0.03773409361
67	0.03709408905
68	0.03662126799
69	0.03597073668
70	0.03544349608
71	0.03516520558
72	0.0345609562
73	0.03416849527
74	0.03362945981
75	0.03318198589
76	0.03277613636
77	0.03242311162
78	0.03197488726
79	0.03186728685
80	0.03183386806
81	0.03160243634
82	0.03151344514
83	0.03127713531
84	0.03106186292
85	0.03079183757
86	0.03066975029
87	0.03037866253
88	0.03034665902
89	0.03010001686
90	0.0300489128
91	0.02999438216
92	0.02978640647
93	0.02951752802
94	0.02941666141
95	0.02931084201
96	0.02927071116
97	0.02923681756
98	0.02921201221
99	0.02917559963
100	0.02910390266
101	0.02906323681
102	0.02903796756
103	0.02889508102
104	0.0288735504
105	0.02877132778
106	0.02856128024
107	0.02846127536
108	0.02838535925
109	0.02830384588
110	0.02810113348
111	0.02803381659
112	0.02801248416
113	0.0279943526
114	0.02796611709
115	0.02794919143
116	0.02758626138
117	0.02756007708
118	0.02736697969
119	0.02733188715
120	0.027253879
121	0.02724413682
122	0.02722912971
123	0.02720355492
124	0.02719067958
125	0.02697392686
126	0.02696062946
127	0.02669002938
128	0.02667712128
129	0.02664630065
130	0.02662817974
131	0.02657969869
132	0.02651600675
133	0.02636471725
134	0.02631864608
135	0.02619152287
136	0.02612865166
137	0.02612375098
138	0.02611711527
139	0.02595263012
140	0.02593660859
141	0.02582194655
142	0.02581213923
143	0.02570278901
144	0.02569296985
145	0.02568346164
146	0.02540282476
147	0.0252498495
148	0.02522170729
149	0.02521441381
150	0.02520631556
151	0.02501432451
152	0.02490400245
